Date,Open,High,Low,Close,Adj Close,Volume
6-Dec-22,147.07,147.3,141.92,142.91,142.91,"64,727,200"
7-Dec-22,142.19,143.37,140,140.94,140.94,"69,721,100"
8-Dec-22,142.36,143.52,141.1,142.65,142.65,"62,128,300"
9-Dec-22,142.34,145.57,140.9,142.16,142.16,"76,097,000"
12-Dec-22,142.7,144.5,141.06,144.49,144.49,"70,462,700"
13-Dec-22,149.5,149.97,144.24,145.47,145.47,"93,886,200"
14-Dec-22,145.35,146.66,141.16,143.21,143.21,"82,291,200"
15-Dec-22,141.11,141.8,136.03,136.5,136.5,"98,931,900"
16-Dec-22,136.69,137.65,133.73,134.51,134.51,"160,156,900"
19-Dec-22,135.11,135.2,131.32,132.37,132.37,"79,592,600"
20-Dec-22,131.39,133.25,129.89,132.3,132.3,"77,432,800"
21-Dec-22,132.98,136.81,132.75,135.45,135.45,"85,928,000"
22-Dec-22,134.35,134.56,130.3,132.23,132.23,"77,852,100"
23-Dec-22,130.92,132.42,129.64,131.86,131.86,"63,814,900"
27-Dec-22,131.38,131.41,128.72,130.03,130.03,"69,007,800"
28-Dec-22,129.67,131.03,125.87,126.04,126.04,"85,438,400"
29-Dec-22,127.99,130.48,127.73,129.61,129.61,"75,703,700"
30-Dec-22,128.41,129.95,127.43,129.93,129.93,"76,960,600"
